Price sequence generation for initial 1:
Position 0: secret=1, price=1
Position 1: secret=137283, price=3
Position 2: secret=12980423, price=3
Position 3: secret=12601359, price=9
Position 4: secret=1593745, price=5
Position 5: secret=11512959, price=9
Position 6: secret=16221730, price=0
Position 7: secret=14681815, price=5
Position 8: secret=1230479, price=9
Position 9: secret=5592677, price=7
Position 10: secret=4860252, price=2
Position 11: secret=2821550, price=0
Position 12: secret=13098271, price=1
Position 13: secret=12670473, price=3
Position 14: secret=469739, price=9
Position 15: secret=3058858, price=8
Position 16: secret=13726235, price=5
Position 17: secret=5403517, price=7
Position 18: secret=145756, price=6
Position 19: secret=14777646, price=6
Position 20: secret=8593179, price=9
Position 21: secret=12474133, price=3
Position 22: secret=6092487, price=7
Position 23: secret=767295, price=5
Position 24: secret=8949032, price=2
Position 25: secret=6689041, price=1
Position 26: secret=14327803, price=3
Position 27: secret=3086898, price=8
Position 28: secret=4121095, price=5
Position 29: secret=301273, price=3
Position 30: secret=16569325, price=5
Position 31: secret=8464872, price=2
Position 32: secret=8827255, price=5
Position 33: secret=16067538, price=8
Position 34: secret=12018088, price=8
Position 35: secret=15981557, price=7
Position 36: secret=7933824, price=4
Position 37: secret=16570620, price=0
Position 38: secret=4892867, price=7
Position 39: secret=99523, price=3
Position 40: secret=15640995, price=5
Position 41: secret=8234856, price=6
Position 42: secret=14730883, price=3
Position 43: secret=12346737, price=7
Position 44: secret=2609400, price=0
Position 45: secret=5835151, price=1
Position 46: secret=9656605, price=5
Position 47: secret=15879855, price=5
Position 48: secret=3197508, price=8
Position 49: secret=5159326, price=6
Position 50: secret=2140398, price=8
Position 51: secret=3502069, price=9
Position 52: secret=6088224, price=4
Position 53: secret=5033297, price=7
Position 54: secret=5418457, price=7
Position 55: secret=5520709, price=9
Position 56: secret=14851941, price=1
Position 57: secret=2608148, price=8
Position 58: secret=11046748, price=8
Position 59: secret=10220190, price=0
Position 60: secret=1695670, price=0
Position 61: secret=7371687, price=7
Position 62: secret=5916404, price=4
Position 63: secret=15531051, price=1
Position 64: secret=10455388, price=8
Position 65: secret=16466094, price=4
Position 66: secret=11110519, price=9
Position 67: secret=8722714, price=4
Position 68: secret=15627622, price=2
Position 69: secret=14466433, price=3
Position 70: secret=15547183, price=3
Position 71: secret=14528360, price=0
Position 72: secret=8773315, price=5
Position 73: secret=1992051, price=1
Position 74: secret=8450174, price=4
Position 75: secret=16580737, price=7
Position 76: secret=16183751, price=1
Position 77: secret=15264775, price=5
Position 78: secret=4209321, price=1
Position 79: secret=7312494, price=4
Position 80: secret=5395345, price=5
Position 81: secret=13892207, price=7
Position 82: secret=7936674, price=4
Position 83: secret=4446131, price=1
Position 84: secret=15125160, price=0
Position 85: secret=4959149, price=9
Position 86: secret=15932138, price=8
Position 87: secret=6243689, price=9
Position 88: secret=16052176, price=6
Position 89: secret=13701902, price=2
Position 90: secret=6368778, price=8
Position 91: secret=14977518, price=8
Position 92: secret=15674877, price=7
Position 93: secret=10760232, price=2
Position 94: secret=7517177, price=7
Position 95: secret=2498516, price=6
Position 96: secret=8975746, price=6
Position 97: secret=8219050, price=0
Position 98: secret=16753459, price=9
Position 99: secret=11777164, price=4
Position 100: secret=4580144, price=4
Position 101: secret=953929, price=9
Position 102: secret=998633, price=3
Position 103: secret=15918748, price=8
Position 104: secret=9804688, price=8
Position 105: secret=14124140, price=0
Position 106: secret=7050135, price=5
Position 107: secret=14951909, price=9
Position 108: secret=5781056, price=6
Position 109: secret=826226, price=6
Position 110: secret=8748493, price=3
Position 111: secret=2823929, price=9
Position 112: secret=409084, price=4
Position 113: secret=13258987, price=7
Position 114: secret=9914746, price=6
Position 115: secret=12392261, price=1
Position 116: secret=16689205, price=5
Position 117: secret=5566558, price=8
Position 118: secret=7119072, price=2
Position 119: secret=10978343, price=3
Position 120: secret=8976776, price=6
Position 121: secret=13209428, price=8
Position 122: secret=15415430, price=0
Position 123: secret=11157966, price=6
Position 124: secret=2425820, price=0
Position 125: secret=12389242, price=2
Position 126: secret=10650453, price=3
Position 127: secret=2583717, price=7
Position 128: secret=12974026, price=6
Position 129: secret=9880928, price=8
Position 130: secret=2816395, price=5
Position 131: secret=7124881, price=1
Position 132: secret=8986959, price=9
Position 133: secret=1024283, price=3
Position 134: secret=2617573, price=3
Position 135: secret=6445032, price=2
Position 136: secret=7612551, price=1
Position 137: secret=11899149, price=9
Position 138: secret=3253471, price=1
Position 139: secret=15101831, price=1
Position 140: secret=7326261, price=1
Position 141: secret=15981902, price=2
Position 142: secret=5335736, price=6
Position 143: secret=14643869, price=9
Position 144: secret=5788531, price=1
Position 145: secret=1088462, price=2
Position 146: secret=15710988, price=8
Position 147: secret=10425292, price=2
Position 148: secret=10973130, price=0
Position 149: secret=11696544, price=4
Position 150: secret=10754349, price=9
Position 151: secret=10531070, price=0
Position 152: secret=13681413, price=3
Position 153: secret=16104023, price=3
Position 154: secret=2666219, price=9
Position 155: secret=6773898, price=8
Position 156: secret=5910010, price=0
Position 157: secret=1626593, price=3
Position 158: secret=4893932, price=2
Position 159: secret=3933011, price=1
Position 160: secret=11815215, price=5
Position 161: secret=3470072, price=2
Position 162: secret=8189599, price=9
Position 163: secret=10351573, price=3
Position 164: secret=9635489, price=9
Position 165: secret=9210774, price=4
Position 166: secret=4205926, price=6
Position 167: secret=3352385, price=5
Position 168: secret=16312505, price=5
Position 169: secret=4366542, price=2
Position 170: secret=13854676, price=6
Position 171: secret=3724866, price=6
Position 172: secret=6982900, price=0
Position 173: secret=2892923, price=3
Position 174: secret=12542830, price=0
Position 175: secret=5098793, price=3
Position 176: secret=10871634, price=4
Position 177: secret=2670188, price=8
Position 178: secret=15017031, price=1
Position 179: secret=527403, price=3
Position 180: secret=16629468, price=8
Position 181: secret=5900690, price=0
Position 182: secret=11370106, price=6
Position 183: secret=4890621, price=1
Position 184: secret=12045240, price=0
Position 185: secret=2335893, price=3
Position 186: secret=6426075, price=5
Position 187: secret=6318275, price=5
Position 188: secret=3117763, price=3
Position 189: secret=1434387, price=7
Position 190: secret=1648365, price=5
Position 191: secret=9967936, price=6
Position 192: secret=4385546, price=6
Position 193: secret=12179654, price=4
Position 194: secret=7992844, price=4
Position 195: secret=11630244, price=4
Position 196: secret=2191705, price=5
Position 197: secret=1033761, price=1
Position 198: secret=1649682, price=2
Position 199: secret=10357206, price=6
Position 200: secret=14761908, price=8
Position 201: secret=9088033, price=3
Position 202: secret=6994242, price=2
Position 203: secret=11972236, price=6
Position 204: secret=3335648, price=8
Position 205: secret=8894735, price=5
Position 206: secret=12746009, price=9
Position 207: secret=13355651, price=1
Position 208: secret=3156241, price=1
Position 209: secret=13264443, price=3
Position 210: secret=15505340, price=0
Position 211: secret=5569401, price=1
Position 212: secret=13235216, price=6
Position 213: secret=907152, price=2
Position 214: secret=15438348, price=8
Position 215: secret=4409732, price=2
Position 216: secret=10199488, price=8
Position 217: secret=671566, price=6
Position 218: secret=10257320, price=0
Position 219: secret=15639269, price=9
Position 220: secret=2091896, price=6
Position 221: secret=296147, price=7
Position 222: secret=13108627, price=7
Position 223: secret=10347097, price=7
Position 224: secret=2070457, price=7
Position 225: secret=11278902, price=2
Position 226: secret=12032779, price=9
Position 227: secret=13368069, price=9
Position 228: secret=11021207, price=7
Position 229: secret=6746149, price=9
Position 230: secret=11099822, price=2
Position 231: secret=15547015, price=5
Position 232: secret=10121117, price=7
Position 233: secret=2448539, price=9
Position 234: secret=4039049, price=9
Position 235: secret=3790295, price=5
Position 236: secret=6716695, price=5
Position 237: secret=7764241, price=1
Position 238: secret=697531, price=1
Position 239: secret=1562152, price=2
Position 240: secret=9635529, price=9
Position 241: secret=5851437, price=7
Position 242: secret=14199422, price=2
Position 243: secret=14101585, price=5
Position 244: secret=13783505, price=5
Position 245: secret=14810301, price=1
Position 246: secret=11613538, price=8
Position 247: secret=9430669, price=9
Position 248: secret=13299683, price=3
Position 249: secret=9326490, price=0
Position 250: secret=4183122, price=2
Position 251: secret=8009428, price=8
Position 252: secret=946122, price=2
Position 253: secret=1847712, price=2
Position 254: secret=13349741, price=1
Position 255: secret=12399468, price=8
Position 256: secret=13573935, price=5
Position 257: secret=10146376, price=6
Position 258: secret=12411466, price=6
Position 259: secret=1621836, price=6
Position 260: secret=9414446, price=6
Position 261: secret=10160075, price=5
Position 262: secret=5061283, price=3
Position 263: secret=7606000, price=0
Position 264: secret=997223, price=3
Position 265: secret=682450, price=0
Position 266: secret=7953848, price=8
Position 267: secret=4090405, price=5
Position 268: secret=8533118, price=8
Position 269: secret=10115745, price=5
Position 270: secret=10954102, price=2
Position 271: secret=3441457, price=7
Position 272: secret=8174858, price=8
Position 273: secret=5427318, price=8
Position 274: secret=4010905, price=5
Position 275: secret=11133815, price=5
Position 276: secret=7186242, price=2
Position 277: secret=10990716, price=6
Position 278: secret=12174887, price=7
Position 279: secret=10669464, price=4
Position 280: secret=2557636, price=6
Position 281: secret=15880826, price=6
Position 282: secret=11604637, price=7
Position 283: secret=3244147, price=7
Position 284: secret=13738070, price=0
Position 285: secret=8370296, price=6
Position 286: secret=13595467, price=7
Position 287: secret=16188551, price=1
Position 288: secret=9763949, price=9
Position 289: secret=7215124, price=4
Position 290: secret=48636, price=6
Position 291: secret=13231339, price=9
Position 292: secret=7571674, price=4
Position 293: secret=553896, price=6
Position 294: secret=16717157, price=7
Position 295: secret=13221444, price=4
Position 296: secret=5434942, price=2
Position 297: secret=12300979, price=9
Position 298: secret=6399616, price=6
Position 299: secret=4056756, price=6
Position 300: secret=598505, price=5
Position 301: secret=13169012, price=2
Position 302: secret=12300567, price=7
Position 303: secret=967537, price=7
Position 304: secret=12955592, price=2
Position 305: secret=13770534, price=4
Position 306: secret=9953299, price=9
Position 307: secret=11744245, price=5
Position 308: secret=16396480, price=0
Position 309: secret=15958214, price=4
Position 310: secret=7687372, price=2
Position 311: secret=4643890, price=0
Position 312: secret=517687, price=7
Position 313: secret=3987624, price=4
Position 314: secret=2313533, price=3
Position 315: secret=15004270, price=0
Position 316: secret=9151137, price=7
Position 317: secret=16097974, price=4
Position 318: secret=10723151, price=1
Position 319: secret=3225323, price=3
Position 320: secret=4012106, price=6
Position 321: secret=15487900, price=0
Position 322: secret=7778616, price=6
Position 323: secret=10100929, price=9
Position 324: secret=1222661, price=1
Position 325: secret=14488591, price=1
Position 326: secret=2580337, price=7
Position 327: secret=13518632, price=2
Position 328: secret=14121281, price=1
Position 329: secret=731209, price=9
Position 330: secret=5897177, price=7
Position 331: secret=9018869, price=9
Position 332: secret=5511088, price=8
Position 333: secret=15735917, price=7
Position 334: secret=532244, price=4
Position 335: secret=2720964, price=4
Position 336: secret=13213802, price=2
Position 337: secret=1924925, price=5
Position 338: secret=7288062, price=2
Position 339: secret=8270629, price=9
Position 340: secret=10018230, price=0
Position 341: secret=13071799, price=9
Position 342: secret=6252724, price=4
Position 343: secret=16623513, price=3
Position 344: secret=9329623, price=3
Position 345: secret=4412263, price=3
Position 346: secret=2402034, price=4
Position 347: secret=9992865, price=5
Position 348: secret=10572918, price=8
Position 349: secret=11412409, price=9
Position 350: secret=16468886, price=6
Position 351: secret=3396454, price=4
Position 352: secret=5552817, price=7
Position 353: secret=4978246, price=6
Position 354: secret=1316088, price=8
Position 355: secret=842671, price=1
Position 356: secret=3441132, price=2
Position 357: secret=16614715, price=5
Position 358: secret=16059812, price=2
Position 359: secret=1040257, price=7
Position 360: secret=919103, price=3
Position 361: secret=2520496, price=6
Position 362: secret=11872637, price=7
Position 363: secret=9760140, price=0
Position 364: secret=4010744, price=4
Position 365: secret=7796895, price=5
Position 366: secret=242085, price=5
Position 367: secret=14267938, price=8
Position 368: secret=4925271, price=1
Position 369: secret=11468035, price=5
Position 370: secret=9459757, price=7
Position 371: secret=9294326, price=6
Position 372: secret=16173333, price=3
Position 373: secret=462903, price=3
Position 374: secret=15582488, price=8
Position 375: secret=10512128, price=8
Position 376: secret=15575608, price=8
Position 377: secret=7066905, price=5
Position 378: secret=10780611, price=1
Position 379: secret=2460539, price=9
Position 380: secret=4054806, price=6
Position 381: secret=1727042, price=2
Position 382: secret=15469716, price=6
Position 383: secret=7246040, price=0
Position 384: secret=5473262, price=2
Position 385: secret=11242413, price=3
Position 386: secret=1342442, price=2
Position 387: secret=10607969, price=9
Position 388: secret=5796104, price=4
